Superclass,Class,Subclass,Subsystem Name,Gene Count,Role Count,Active
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Capsule and Slime layer","dTDP-rhamnose synthesis",6,4,"active"
"RNA Processing","RNA Processing","Transcription","RNA polymerase, bacterial",4,4,"active"
"RNA Processing","RNA Processing","RNA processing and modification","RNA processing and degradation, bacterial",7,7,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Fatty Acid Biosynthesis FASII",18,13,"likely"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Antibiotic targets in cell wall biosynthesis",3,3,"active"
"DNA Processing","DNA Processing","DNA uptake, competence","DNA processing cluster",3,3,"active"
"Membrane Transport","Membrane Transport","ABC transporters","Dpp dipeptide ABC transport system",4,4,"likely"
"Metabolism","Amino Acids and Derivatives","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Aspartate to Homoserine module",5,3,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD and NADP","NAD and NADP cofactor biosynthesis bacterial",10,10,"active"
"Metabolism","Amino Acids and Derivatives","Arginine; urea cycle, creatine, polyamines","Polyamine Metabolism",2,2,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein degradation","Putative TldE-TldD proteolytic complex",2,2,"active"
"Metabolism","Amino Acids and Derivatives","Histidine Metabolism","Histidine Biosynthesis",9,11,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein folding","Protein chaperones",6,5,"active"
"Metabolism","Amino Acids and Derivatives","","Amino acid racemase",4,4,"active"
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Capsule and Slime layer","Hyaluronic Acid-containing Cell Walls",1,1,"likely"
"RNA Processing","RNA Processing","RNA processing and modification","mRNA 3-end processing factor containing cluster",4,4,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","","FtsEX cell-division-associated signaling system",8,6,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein degradation","Protein degradation",4,5,"active"
"Metabolism","Secondary Metabolism","Metabolism of Aromatic Compounds","Phenylacetyl-CoA catabolic pathway (core)",8,9,"likely"
"Metabolism","Amino Acids and Derivatives","Aromatic amino acids and derivatives","Tryptophan synthesis",7,7,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Acyl carrier protein",2,1,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","","Hfl operon",2,2,"active"
"Energy","Respiration","Biogenesis of respiratory chain components","Biogenesis of c-type cytochromes",8,7,"likely"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","TCA Cycle",14,13,"active"
"DNA Processing","DNA Processing","DNA recombination","RuvABC plus a hypothetical",4,4,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein processing and modification","Modification of eukaryotic initiation factor 5A",2,2,"likely"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Coenzyme A","Coenzyme A Biosynthesis cluster",6,6,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","","Cell division cluster",18,16,"likely"
"Metabolism","Amino Acids and Derivatives","Lysine, threonine, methionine, and cysteine","Aspartate to Threonine Module",7,5,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Pyruvate metabolism I: anaplerotic reactions, PEP",6,6,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Antibiotic targets in protein synthesis",5,5,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Isoprenoids","Mevalonate metabolic pathway",4,4,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Glyoxylate bypass",5,5,"active"
"RNA Processing","RNA Processing","RNA processing and modification","YrdC-YciO-Sua5 and associated protein families",7,7,"active"
"","Fatty Acids, Lipids, and Isoprenoids","Unsaturated fatty acids","Delta(6)-desaturase containing cluster",2,2,"active"
"Metabolism","Metabolite damage and its repair or mitigation","","Metabolite repair",5,5,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Methylglyoxal Metabolism",2,2,"likely"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, His",1,1,"active"
"","Clustering-based subsystems","Cell Division","Cell division related cluster including coaD",9,7,"likely"
"Energy","Respiration","ATP synthases","F0F1-type ATP synthase",10,9,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein processing and modification","Signal peptidase",2,2,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial MutHLS system",4,4,"active"
"Energy","Respiration","Biogenesis of respiratory chain components","Biogenesis of cbb3-type cytochrome c oxidases",5,6,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Ser",1,1,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein folding","Periplasmic disulfide interchange",1,1,"likely"
"Membrane Transport","Membrane Transport","","Lipopolysaccharide transporter LptABC",3,3,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Trp",1,1,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate",6,6,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Asp",1,1,"active"
"Energy","Energy and Precursor Metabolites Generation","Fermentation","Acetolactate synthase subunits",2,2,"active"
"RNA Processing","RNA Processing","RNA processing and modification","5-methylaminomethyl-2-thiouridine",5,5,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Antibiotic targets in DNA processing",4,4,"active"
"Metabolism","Metabolite damage and its repair or mitigation","","Damaged nicotinamide nucleotide NAD(P)HX repair",1,2,"active"
"RNA Processing","RNA Processing","RNA processing and modification","rRNA modification related cluster including tlyA",3,3,"likely"
"DNA Processing","DNA Processing","DNA repair","DNA repair, UvrABC system",4,4,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Antibiotic targets in transcription",3,3,"active"
"Metabolism","Carbohydrates","Monosaccharides","GDP-fucose to mannose-1P module",5,4,"active"
"Protein Processing","Protein Synthesis","Translation","Translation elongation factors, bacterial",8,8,"active"
"Metabolism","Amino Acids and Derivatives","Aromatic amino acids and derivatives","Chorismate Synthesis",9,10,"active"
"","Clustering-based subsystems","Lysine Biosynthesis","Peptidase clustering with DAP",8,6,"likely"
"Regulation And Cell Signaling","Regulation and Cell signaling","","Stringent Response, (p)ppGpp metabolism",2,3,"active"
"Metabolism","Amino Acids and Derivatives","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Glutamate dehydrogenases",1,1,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein processing and modification","Ribosomal protein S12p Asp methylthiotransferase",4,4,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","","Macromolecular synthesis operon",8,7,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Antibiotic targets in metabolic pathways",2,2,"active"
"Metabolism","Amino Acids and Derivatives","Alanine, serine, and glycine","Glycine cleavage system",5,4,"active"
"Metabolism","Carbohydrates","Monosaccharides","D-gluconate and ketogluconates metabolism",3,3,"active"
"RNA Processing","RNA Processing","RNA processing and modification","Methylthiotransferases",3,3,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response","Aerotolerance operon",8,8,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Asn",4,4,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Fatty acid catabolic operon fadN-fadA-fadE (yusJKL)",3,4,"active"
"RNA Processing","RNA Processing","RNA processing and modification","Ribonuclease H",2,2,"active"
"Metabolism","Metabolite damage and its repair or mitigation","","Nudix proteins (nucleoside triphosphate hydrolases)",3,3,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Thiamin","Thiamin, thiazole, hydroxymethylpyrimidine salvage and uptake",3,2,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Arg",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Gln",2,2,"active"
"Metabolism","Carbohydrates","Polysaccharides","Glycogen metabolism",4,4,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate and pterines","Pterin synthesis related cluster",7,5,"likely"
"Membrane Transport","Membrane Transport","Multidrug efflux systems","Tripartite efflux system (of RND type) associated with Geranylgeranyl-PP synthase",4,4,"active"
"Cellular Processes","Prokaryotic cell type differentiation","Sporulation","Sporulation-associated proteins with broader functions",1,1,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Enoyl-[ACP] reductases disambiguation",2,2,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Gly",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Thr",1,1,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response: Heat/cold shock","Cold shock proteins of CSP family",4,1,"active"
"RNA Processing","RNA Processing","RNA processing and modification","ATP-dependent RNA helicases, bacterial",4,3,"active"
"Metabolism","Carbohydrates","C-1 compound metabolism","S-Adenosyl-L-homocysteine recycling",4,3,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Val",1,1,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response: Osmotic stress","Hyperosmotic potassium uptake",2,2,"active"
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Gram-Negative (Diderm) cell wall components","Outer membrane",3,2,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein folding","Peptidyl-prolyl cis-trans isomerase",2,1,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response: Osmotic stress","Osmoregulation",2,1,"active"
"DNA Processing","DNA Processing","DNA uptake, competence","DNA internalization-related cluster",6,6,"likely"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Quinone cofactors","Menaquinone biosynthesis from chorismate via 1,4-dihydroxy-2-naphthoate",8,8,"likely"
"Metabolism","Nucleosides and Nucleotides","Purines","Purine nucleotide synthesis regulator",3,3,"active"
"DNA Processing","DNA Processing","DNA repair","RecA and RecX",2,2,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","","Bacterial checkpoint-control-related cluster",2,3,"likely"
"Membrane Transport","Membrane Transport","Cation transporters","Trk and Ktr potassium uptake systems",3,3,"active"
"Membrane Transport","Membrane Transport","","Lipoprotein transporter to outer membrane Lol",3,3,"likely"
"RNA Processing","RNA Processing","RNA processing and modification","tRNA nucleotidyltransferase",1,1,"active"
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Capsule and Slime layer","Streptococcal Hyaluronic Acid Capsule",1,1,"likely"
"Membrane Transport","Membrane Transport","ABC transporters","Maintenance of outer membrane lipid asymmetry",2,2,"likely"
"Metabolism","Nucleosides and Nucleotides","Purines","GMP synthase",1,2,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response","Protection from Reactive Oxygen Species",3,3,"active"
"Metabolism","Metabolite damage and its repair or mitigation","","D-tyrosyl-tRNA(Tyr) deacylase",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Phe",2,2,"active"
"Protein Processing","Protein Synthesis","Translation","Programmed frameshift",1,2,"active"
"DNA Processing","DNA Processing","DNA recombination","Replication-associated recombination protein RarA",2,2,"active"
"Membrane Transport","Membrane Transport","Uni- Sym- and Antiporters","Na(+) H(+) antiporter",1,1,"active"
"Metabolism","Nucleosides and Nucleotides","Purines","IMP and Xanthine conversion to XMP and GMP module",2,4,"active"
"Metabolism","Nucleosides and Nucleotides","","Adenosyl nucleosidases",2,1,"active"
"Metabolism","Nucleosides and Nucleotides","","Ribonucleotide reduction",2,2,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Resistance to Triclosan",2,2,"active"
"Metabolism","Amino Acids and Derivatives","Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Glutamine synthetases",2,2,"active"
"Membrane Transport","Membrane Transport","Cation transporters","Magnesium transport",2,2,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion and intracellular resistance","Listeria surface proteins: Internalin-like proteins",1,1,"active"
"Miscellaneous","Miscellaneous","","Muconate lactonizing enzyme family",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Leu",1,1,"active"
"Protein Processing","Protein Synthesis","Translation","Trans-translation by stalled ribosomes",1,1,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Cob(I)alamin adenosyltransferase",1,1,"active"
"Metabolism","Amino Acids and Derivatives","Proline and 4-hydroxyproline","Proline Synthesis",2,2,"likely"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein targeting, sorting, translocation","Twin-arginine translocation system",2,2,"likely"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Cys",1,1,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Copper homeostasis: copper tolerance",1,1,"active"
"Membrane Transport","Membrane Transport","Cation transporters","Copper Transport System",2,1,"likely"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Glu",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Pro",1,1,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial UvrD and related helicases",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Ala",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Lys",1,1,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","Programmed Cell Death and Toxin-antitoxin Systems","Nucleoside triphosphate pyrophosphohydrolase MazG",1,1,"active"
"Membrane Transport","Membrane Transport","Cation transporters","Copper transport and blue copper proteins",1,1,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Met",1,1,"active"
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Peptidoglycan (Bacteria) or other polymers (Archaea)","Undecaprenyl-diphosphatases",1,1,"active"
