Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.923",,,"PATRIC.313590.8.CP009301.CDS.1020350.1021795.rev","PATRIC","CDS",1020350,1021795,1446,"-","FIG00134135","PLF_326319_00001262","PGF_00008876",,481,,"Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)","GO:0009011|starch synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.93",,,"PATRIC.313590.8.CP009301.CDS.102076.102855.rev","PATRIC","CDS",102076,102855,780,"-","FIG00897338","PLF_326319_00002399","PGF_08213764",,259,,"Mobilization protein BmgA",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.924",,,"PATRIC.313590.8.CP009301.CDS.1022017.1022496.fwd","PATRIC","CDS",1022017,1022496,480,"+","FIG00380575","PLF_326319_00000765","PGF_06594013",,159,,"Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)","GO:0033743|peptide-methionine (R)-S-oxide reductase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.925",,,"PATRIC.313590.8.CP009301.CDS.1022502.1022891.fwd","PATRIC","CDS",1022502,1022891,390,"+","FIG00380575","PLF_326319_00000766","PGF_06594013",,129,,"Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)","GO:0033743|peptide-methionine (R)-S-oxide reductase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.926",,,"PATRIC.313590.8.CP009301.CDS.1023018.1024394.fwd","PATRIC","CDS",1023018,1024394,1377,"+","FIG00140039","PLF_326319_00000207","PGF_09658708",,458,,"Dihydrolipoamide dehydrogenase (EC 1.8.1.4)","GO:0004148|dihydrolipoyl dehydrogenase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.927",,,"PATRIC.313590.8.CP009301.CDS.1024466.1024945.rev","PATRIC","CDS",1024466,1024945,480,"-","FIG00000430","PLF_326319_00000560","PGF_00417577",,159,,"3-dehydroquinate dehydratase II (EC 4.2.1.10)","GO:0003855|3-dehydroquinate dehydratase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.928",,,"PATRIC.313590.8.CP009301.CDS.1024999.1025607.rev","PATRIC","CDS",1024999,1025607,609,"-","FIG00638284","PLF_326319_00000007","PGF_08225224",,202,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.929",,,"PATRIC.313590.8.CP009301.CDS.1025759.1026658.fwd","PATRIC","CDS",1025759,1026658,900,"+","FIG01116662","PLF_326319_00001393","PGF_00052943",,299,,"Site-specific tyrosine recombinase XerD",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.930",,,"PATRIC.313590.8.CP009301.CDS.1026727.1028040.rev","PATRIC","CDS",1026727,1028040,1314,"-","FIG01523431","PLF_326319_00000352","PGF_00001077",,437,,"FIG00931065: hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.931",,,"PATRIC.313590.8.CP009301.CDS.1028134.1028652.rev","PATRIC","CDS",1028134,1028652,519,"-","FIG00638284","PLF_326319_00002496","PGF_12736305",,172,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.94",,,"PATRIC.313590.8.CP009301.CDS.102855.103148.rev","PATRIC","CDS",102855,103148,294,"-","FIG00638284","PLF_326319_00002943","PGF_01527067",,97,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.932",,,"PATRIC.313590.8.CP009301.CDS.1028698.1029366.rev","PATRIC","CDS",1028698,1029366,669,"-","FIG00638284","PLF_326319_00001749","PGF_01526560",,222,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.933",,,"PATRIC.313590.8.CP009301.CDS.1029333.1029455.fwd","PATRIC","CDS",1029333,1029455,123,"+",,"PLF_326319_00003787","PGF_01527638",,40,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.934",,,"PATRIC.313590.8.CP009301.CDS.1029547.1030647.rev","PATRIC","CDS",1029547,1030647,1101,"-","FIG00000860","PLF_326319_00000697","PGF_00956915",,366,,"O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)","GO:0008756|o-succinylbenzoate-CoA ligase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.935",,,"PATRIC.313590.8.CP009301.CDS.1030705.1031619.rev","PATRIC","CDS",1030705,1031619,915,"-","FIG01228517","PLF_326319_00001659","PGF_04817382",,304,,"Uncharacterized integral membrane protein Fjoh_4783",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.936",,,"PATRIC.313590.8.CP009301.CDS.1031623.1032657.rev","PATRIC","CDS",1031623,1032657,1035,"-","FIG01306622","PLF_326319_00000696","PGF_03374975",,344,,"O-succinylbenzoate synthase (EC 4.2.1.113)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.95",,,"PATRIC.313590.8.CP009301.CDS.103235.104110.rev","PATRIC","CDS",103235,104110,876,"-","FIG00019251","PLF_326319_00002329","PGF_08009909",,291,,"DNA primase, TraP-type",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.937",,,"PATRIC.313590.8.CP009301.CDS.1032942.1033502.fwd","PATRIC","CDS",1032942,1033502,561,"+","FIG00003845","PLF_326319_00001596","PGF_06171725",,186,,"Transcriptional regulator, ArsR family",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.938",,,"PATRIC.313590.8.CP009301.CDS.1033499.1034374.rev","PATRIC","CDS",1033499,1034374,876,"-","FIG00000708","PLF_326319_00000290","PGF_09190895",,291,,"Aminodeoxychorismate lyase (EC 4.1.3.38)","GO:0008696|4-amino-4-deoxychorismate lyase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.939",,,"PATRIC.313590.8.CP009301.CDS.1034395.1034781.rev","PATRIC","CDS",1034395,1034781,387,"-","FIG00649652","PLF_326319_00002205","PGF_03313360",,128,,"Ligand-binding SRPBCC domain protein family 2",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.940",,,"PATRIC.313590.8.CP009301.CDS.1035197.1036558.fwd","PATRIC","CDS",1035197,1036558,1362,"+","FIG00007556","PLF_326319_00002336","PGF_00419628",,453,,"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)","GO:0051989|coproporphyrinogen dehydrogenase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.941",,,"PATRIC.313590.8.CP009301.CDS.1036749.1036910.rev","PATRIC","CDS",1036749,1036910,162,"-","FIG00766852","PLF_326319_00002698","PGF_01526908",,53,,"coproporphyrinogen III oxidase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.942",,,"PATRIC.313590.8.CP009301.CDS.1036960.1037592.rev","PATRIC","CDS",1036960,1037592,633,"-",,"PLF_326319_00002756","PGF_01526945",,210,,"membrane-bounded cytochrome biogenesis DsbD/cycZ-like domain",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.943",,,"PATRIC.313590.8.CP009301.CDS.1037668.1038114.rev","PATRIC","CDS",1037668,1038114,447,"-","FIG00653627","PLF_326319_00002460","PGF_00070373",,148,,"cytochrome cbb3 oxidase maturation protein CcoH",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.944",,,"PATRIC.313590.8.CP009301.CDS.1038150.1039571.rev","PATRIC","CDS",1038150,1039571,1422,"-","FIG00138562","PLF_326319_00002449","PGF_06992864",,473,,"Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation","GO:0005506|iron ion binding;GO:0006118|electron transport;GO:0009055|electron carrier activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.945",,,"PATRIC.313590.8.CP009301.CDS.1039600.1040550.rev","PATRIC","CDS",1039600,1040550,951,"-","FIG00001139","PLF_326319_00002414","PGF_03815442",,316,,"Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.946",,,"PATRIC.313590.8.CP009301.CDS.1040555.1040743.rev","PATRIC","CDS",1040555,1040743,189,"-","FIG00638284","PLF_326319_00002883","PGF_05649942",,62,,"Cytochrome c oxidase (cbb3-type) subunit CcoQ (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.947",,,"PATRIC.313590.8.CP009301.CDS.1040747.1042951.rev","PATRIC","CDS",1040747,1042951,2205,"-","FIG00132938","PLF_326319_00002339","PGF_00420361",,734,,"Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1) / Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.96",,,"PATRIC.313590.8.CP009301.CDS.104114.105361.rev","PATRIC","CDS",104114,105361,1248,"-","FIG00638284","PLF_326319_00000050","PGF_01527711",,415,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.948",,,"PATRIC.313590.8.CP009301.CDS.1042964.1043155.rev","PATRIC","CDS",1042964,1043155,192,"-","FIG00014915","PLF_326319_00002451","PGF_09540490",,63,,"Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.949",,,"PATRIC.313590.8.CP009301.CDS.1043297.1043674.rev","PATRIC","CDS",1043297,1043674,378,"-","FIG00638284","PLF_326319_00002727","PGF_01526928",,125,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.950",,,"PATRIC.313590.8.CP009301.CDS.1043671.1046115.rev","PATRIC","CDS",1043671,1046115,2445,"-",,"PLF_326319_00002450","PGF_00063824",,814,,"Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4); FUPA29 P-type ATPase","GO:0004008|copper-exporting ATPase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.951",,,"PATRIC.313590.8.CP009301.CDS.1046264.1046908.rev","PATRIC","CDS",1046264,1046908,645,"-","FIG01905693","PLF_326319_00002619","PGF_00406510",,214,,"putative cardiolipin synthetase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.952",,,"PATRIC.313590.8.CP009301.CDS.1047051.1047467.rev","PATRIC","CDS",1047051,1047467,417,"-",,"PLF_326319_00002510","PGF_01526810",,138,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.953",,,"PATRIC.313590.8.CP009301.CDS.1047614.1048465.rev","PATRIC","CDS",1047614,1048465,852,"-","FIG00648926","PLF_326319_00002882","PGF_01527039",,283,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.954",,,"PATRIC.313590.8.CP009301.CDS.1048530.1049378.rev","PATRIC","CDS",1048530,1049378,849,"-",,"PLF_326319_00002495","PGF_01526801",,282,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.955",,,"PATRIC.313590.8.CP009301.CDS.1049438.1050283.rev","PATRIC","CDS",1049438,1050283,846,"-","FIG01558386","PLF_326319_00002881","PGF_01527064",,281,,"2x Universal stress protein A (2UspA)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.7",,,"PATRIC.313590.8.CP009301.CDS.10496.10762.rev","PATRIC","CDS",10496,10762,267,"-","FIG00638284","PLF_326319_00002138","PGF_12819476",,88,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.956",,,"PATRIC.313590.8.CP009301.CDS.1050289.1051137.rev","PATRIC","CDS",1050289,1051137,849,"-","FIG00650742","PLF_326319_00002366","PGF_01527064",,282,,"2x Universal stress protein A (2UspA)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.957",,,"PATRIC.313590.8.CP009301.CDS.1051144.1052013.rev","PATRIC","CDS",1051144,1052013,870,"-","FIG01558386","PLF_326319_00002344","PGF_01526761",,289,,"2x Universal stress protein A (2UspA)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.958",,,"PATRIC.313590.8.CP009301.CDS.1052064.1052873.rev","PATRIC","CDS",1052064,1052873,810,"-","FIG00653236","PLF_326319_00002494","PGF_01526800",,269,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.959",,,"PATRIC.313590.8.CP009301.CDS.1052947.1053993.rev","PATRIC","CDS",1052947,1053993,1047,"-","FIG01956054","PLF_326319_00002444","PGF_09666309",,348,,"Two-component transcriptional response regulator, LuxR family",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.960",,,"PATRIC.313590.8.CP009301.CDS.1053998.1055227.rev","PATRIC","CDS",1053998,1055227,1230,"-","FIG00769174","PLF_326319_00002425","PGF_02620852",,409,,"Two-component system sensor histidine kinase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.961",,,"PATRIC.313590.8.CP009301.CDS.1055358.1055768.fwd","PATRIC","CDS",1055358,1055768,411,"+","FIG00651097","PLF_326319_00002610","PGF_08225224",,136,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.962",,,"PATRIC.313590.8.CP009301.CDS.1055848.1056303.fwd","PATRIC","CDS",1055848,1056303,456,"+","FIG00638284","PLF_326319_00002141","PGF_00395303",,151,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.963",,,"PATRIC.313590.8.CP009301.CDS.1056453.1057289.rev","PATRIC","CDS",1056453,1057289,837,"-","FIG01558386","PLF_326319_00002454","PGF_00065939",,278,,"Universal stress protein Coch_1269",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.964",,,"PATRIC.313590.8.CP009301.CDS.1057289.1057600.rev","PATRIC","CDS",1057289,1057600,312,"-","FIG00638284","PLF_326319_00002880","PGF_01382519",,103,,"Ribosome hibernation promoting factor Hpf",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.965",,,"PATRIC.313590.8.CP009301.CDS.1057673.1058353.rev","PATRIC","CDS",1057673,1058353,681,"-","FIG00638284","PLF_326319_00002879","PGF_01527400",,226,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.97",,,"PATRIC.313590.8.CP009301.CDS.105781.107031.rev","PATRIC","CDS",105781,107031,1251,"-","FIG00638284","PLF_326319_00002942","PGF_01527066",,416,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.966",,,"PATRIC.313590.8.CP009301.CDS.1058388.1059149.fwd","PATRIC","CDS",1058388,1059149,762,"+","FIG01304453","PLF_326319_00001374","PGF_00786671",,253,,"Serine protease",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.967",,,"PATRIC.313590.8.CP009301.CDS.1059206.1060057.rev","PATRIC","CDS",1059206,1060057,852,"-",,"PLF_326319_00002614","PGF_01526879",,283,,"predicted universal stress protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.968",,,"PATRIC.313590.8.CP009301.CDS.1060235.1061626.rev","PATRIC","CDS",1060235,1061626,1392,"-",,"PLF_326319_00002962","PGF_08225224",,463,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.969",,,"PATRIC.313590.8.CP009301.CDS.1062024.1068077.fwd","PATRIC","CDS",1062024,1068077,6054,"+","FIG01545246","PLF_326319_00001702","PGF_08225224",,2017,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.970",,,"PATRIC.313590.8.CP009301.CDS.1068129.1068296.fwd","PATRIC","CDS",1068129,1068296,168,"+","FIG00638284","PLF_326319_00002560","PGF_01526844",,55,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.971",,,"PATRIC.313590.8.CP009301.CDS.1068689.1075102.fwd","PATRIC","CDS",1068689,1075102,6414,"+","FIG00638284","PLF_326319_00001748","PGF_08225224",,2137,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.98",,,"PATRIC.313590.8.CP009301.CDS.107100.108344.rev","PATRIC","CDS",107100,108344,1245,"-","FIG01322184","PLF_326319_00002941","PGF_07214360",,414,,"Integrase",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.972",,,"PATRIC.313590.8.CP009301.CDS.1075305.1076738.fwd","PATRIC","CDS",1075305,1076738,1434,"+","FIG01700541","PLF_326319_00001321","PGF_00012454",,477,,"Hyaluronan synthase (EC 2.4.1.212)","GO:0050501|hyaluronan synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.973",,,"PATRIC.313590.8.CP009301.CDS.1076824.1078089.rev","PATRIC","CDS",1076824,1078089,1266,"-","FIG00022899","PLF_326319_00001467","PGF_06757295",,421,,"Threonine dehydratase biosynthetic (EC 4.3.1.19)","GO:0004794|L-threonine ammonia-lyase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.974",,,"PATRIC.313590.8.CP009301.CDS.1078119.1079615.rev","PATRIC","CDS",1078119,1079615,1497,"-","FIG00000244","PLF_326319_00000086","PGF_00015855",,498,,"Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)","GO:0004455|ketol-acid reductoisomerase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.975",,,"PATRIC.313590.8.CP009301.CDS.1079707.1080267.rev","PATRIC","CDS",1079707,1080267,561,"-","FIG00000433","PLF_326319_00001206","PGF_00025215",,186,,"Acetolactate synthase small subunit (EC 2.2.1.6)","GO:0003984|acetolactate synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.976",,,"PATRIC.313590.8.CP009301.CDS.1080314.1082038.rev","PATRIC","CDS",1080314,1082038,1725,"-","FIG00136692","PLF_326319_00000579","PGF_00025090",,574,,"Acetolactate synthase large subunit (EC 2.2.1.6)","GO:0003984|acetolactate synthase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.977",,,"PATRIC.313590.8.CP009301.CDS.1082112.1083791.rev","PATRIC","CDS",1082112,1083791,1680,"-","FIG00138258","PLF_326319_00001138","PGF_05070366",,559,,"Dihydroxy-acid dehydratase (EC 4.2.1.9)","GO:0004160|dihydroxy-acid dehydratase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.978",,,"PATRIC.313590.8.CP009301.CDS.1084130.1085503.fwd","PATRIC","CDS",1084130,1085503,1374,"+","FIG01292786","PLF_326319_00000381","PGF_07597988",,457,,"Aldehyde dehydrogenase (EC 1.2.1.3)","GO:0004029|aldehyde dehydrogenase (NAD) activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.979",,,"PATRIC.313590.8.CP009301.CDS.1085596.1085901.fwd","PATRIC","CDS",1085596,1085901,306,"+","FIG00638284","PLF_326319_00002206","PGF_01526742",,101,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.8",,,"PATRIC.313590.8.CP009301.CDS.10856.11554.rev","PATRIC","CDS",10856,11554,699,"-","FIG00649374","PLF_326319_00002137","PGF_08225224",,232,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.980",,,"PATRIC.313590.8.CP009301.CDS.1085884.1086741.rev","PATRIC","CDS",1085884,1086741,858,"-","FIG00010262","PLF_326319_00000391","PGF_01072023",,285,,"Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)","GO:0004039|allophanate hydrolase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.981",,,"PATRIC.313590.8.CP009301.CDS.1086731.1087405.rev","PATRIC","CDS",1086731,1087405,675,"-","FIG00000847","PLF_326319_00001213","PGF_10380727",,224,,"Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)","GO:0004039|allophanate hydrolase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.982",,,"PATRIC.313590.8.CP009301.CDS.1087409.1088140.rev","PATRIC","CDS",1087409,1088140,732,"-","FIG00003076","PLF_326319_00000545","PGF_04710902",,243,,"Lactam utilization protein LamB",
