Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1127,MED134_13231,VBIDokDon50125_1127,,"Indole-3-glycerol phosphate synthase (EC 4.1.1.48)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Indole-3-glycerol-phosphate synthase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2603,MED134_05954,VBIDokDon50125_2603,,"Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)",PATRIC,"Glycosphingolipid biosynthesis - lacto and neolacto series","Hexosyltransferases."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1556,MED134_00600,VBIDokDon50125_1556,,"tRNA dihydrouridine synthase B (EC 1.-.-.-)",PATRIC,"Insect hormone biosynthesis","Oxidoreductases."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2348,MED134_04659,VBIDokDon50125_2348,,"Purine nucleoside phosphorylase (EC 2.4.2.1)",PATRIC,"Purine metabolism","Purine-nucleoside phosphorylase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.830,MED134_11696,VBIDokDon50125_0830,,"3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)",PATRIC,"Reductive carboxylate cycle (CO2 fixation)","3-hydroxyacyl-CoA dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1462,MED134_00135,VBIDokDon50125_1462,,"Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)",PATRIC,"Pyruvate metabolism","Pyruvate dehydrogenase (acetyl-transferring)"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.158,MED134_08216,VBIDokDon50125_0158,,"Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)",PATRIC,"Phenylpropanoid biosynthesis","Peroxidase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.824,MED134_11666,VBIDokDon50125_0824,,"1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)",PATRIC,"Phenylalanine metabolism","Phenylacetyl-CoA 1,2-epoxidase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2493,MED134_05379,VBIDokDon50125_2493,,"Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Fatty acid metabolism","Acetyl-CoA C-acetyltransferase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2085,MED134_03314,VBIDokDon50125_2085,,"NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)",PATRIC,"Glycolysis / Gluconeogenesis","Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.898,MED134_12036,VBIDokDon50125_0898,,"Glycerol kinase (EC 2.7.1.30)",PATRIC,"Glycerolipid metabolism","Glycerol kinase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.953,MED134_12311,VBIDokDon50125_0953,,"5'-nucleotidase YjjG (EC 3.1.3.5)",PATRIC,"Pyrimidine metabolism","5'-nucleotidase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2707,MED134_06499,VBIDokDon50125_2707,,"tRNA-(ms[2]io[6]A)-hydroxylase (EC 1.-.-.-)",PATRIC,"Puromycin biosynthesis","Oxidoreductases."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1767,MED134_01675,VBIDokDon50125_1767,,"Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Isoquinoline alkaloid biosynthesis","Aspartate transaminase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1455,MED134_00105,VBIDokDon50125_1455,,"Thymidylate synthase (EC 2.1.1.45)",PATRIC,"Pyrimidine metabolism","Thymidylate synthase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.766,MED134_11371,VBIDokDon50125_0766,,"Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)",PATRIC,"Reductive carboxylate cycle (CO2 fixation)","With an iron-sulfur protein as acceptor."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2385,MED134_04839,VBIDokDon50125_2385,,"Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)",PATRIC,"Propanoate metabolism","Succinate--CoA ligase (ADP-forming)"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2116,MED134_03464,VBIDokDon50125_2116,,"Adenylosuccinate synthetase (EC 6.3.4.4)",PATRIC,"Purine metabolism","Adenylosuccinate synthase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2611,MED134_05994,VBIDokDon50125_2611,,"UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)",PATRIC,"Amino sugar and nucleotide sugar metabolism","UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1745,MED134_01550,VBIDokDon50125_1745,,"Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)",PATRIC,"Nitrogen metabolism","Asparagine synthase (glutamine-hydrolyzing)"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.883,MED134_11966,VBIDokDon50125_0883,,"3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)",PATRIC,"Valine, leucine and isoleucine biosynthesis","3-isopropylmalate dehydratase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2834,MED134_07134,VBIDokDon50125_2834,,"Fumarate hydratase class II (EC 4.2.1.2)",PATRIC,"Reductive carboxylate cycle (CO2 fixation)","Fumarate hydratase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1413,MED134_14702,VBIDokDon50125_1413,,"Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)",PATRIC,"Sulfur metabolism","Phosphoadenylyl-sulfate reductase (thioredoxin)"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2612,MED134_05999,VBIDokDon50125_2612,,"UDP-glucose 6-dehydrogenase (EC 1.1.1.22)",PATRIC,"Amino sugar and nucleotide sugar metabolism","UDP-glucose 6-dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1067,MED134_12911,VBIDokDon50125_1067,,"5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)",PATRIC,"Tyrosine metabolism","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1106,MED134_13116,VBIDokDon50125_1106,,"Transketolase, N-terminal section (EC 2.2.1.1)",PATRIC,"Carbon fixation in photosynthetic organisms","Transketolase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.251,MED134_08736,VBIDokDon50125_0251,,"Enoyl-CoA hydratase (EC 4.2.1.17)",PATRIC,"Tryptophan metabolism","Enoyl-CoA hydratase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1909,MED134_02420,VBIDokDon50125_1909,,"DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",PATRIC,"Pyrimidine metabolism","DNA-directed RNA polymerase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2392,MED134_04874,VBIDokDon50125_2392,hisG,"ATP phosphoribosyltransferase (EC 2.4.2.17)",PATRIC,"Histidine metabolism","ATP phosphoribosyltransferase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.357,MED134_09286,VBIDokDon50125_0357,,"Alkane-1 monooxygenase (EC 1.14.15.3)",PATRIC,"Arachidonic acid metabolism","Alkane 1-monooxygenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.874,MED134_11921,VBIDokDon50125_0874,,"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)",PATRIC,"Arginine and proline metabolism","Pyrroline-5-carboxylate reductase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.356,MED134_09281,VBIDokDon50125_0356,,"Glutamyl-tRNA synthetase (EC 6.1.1.17)",PATRIC,"Aminoacyl-tRNA biosynthesis","Glutamate--tRNA ligase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.917,MED134_12131,VBIDokDon50125_0917,,"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)",PATRIC,"Fatty acid biosynthesis","Beta-ketoacyl-[acyl-carrier-protein] synthase III"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.772,MED134_11401,VBIDokDon50125_0772,,"Alternative cytochrome c oxidase polypeptide CoxM (EC 1.9.3.1)",PATRIC,"Oxidative phosphorylation","Cytochrome-c oxidase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1481,MED134_00230,VBIDokDon50125_1481,,"O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)",PATRIC,"Selenoamino acid metabolism","Cystathionine gamma-synthase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2656,MED134_06229,VBIDokDon50125_2656,,"3-hydroxyacyl-CoA dehydrogenase [fadN-fadA-fadE operon] (EC 1.1.1.35) / Enoyl-CoA hydratase [fadN-fadA-fadE operon] (EC 4.2.1.17)",PATRIC,"Primary bile acid biosynthesis","3-hydroxyacyl-CoA dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1120,MED134_13196,VBIDokDon50125_1120,ddl,"D-alanine--D-alanine ligase (EC 6.3.2.4)",PATRIC,"D-Alanine metabolism","D-alanine--D-alanine ligase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.821,MED134_11651,VBIDokDon50125_0821,,"Phenylalanine-4-hydroxylase (EC 1.14.16.1) / N-terminal regulatory domain",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Phenylalanine 4-monooxygenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1027,MED134_12706,VBIDokDon50125_1027,murE,"UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)",PATRIC,"Lysine biosynthesis","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1850,MED134_02115,VBIDokDon50125_1850,,"Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)",PATRIC,"Pantothenate and CoA biosynthesis","Phosphopantothenate--cysteine ligase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2379,MED134_04809,VBIDokDon50125_2379,,"UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)",PATRIC,"Lipopolysaccharide biosynthesis","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.498,MED134_09991,VBIDokDon50125_0498,,"Alanine racemase (EC 5.1.1.1)",PATRIC,"D-Alanine metabolism","Alanine racemase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.780,MED134_11441,VBIDokDon50125_0780,,"Fructokinase (EC 2.7.1.4)",PATRIC,"Starch and sucrose metabolism","Fructokinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2262,MED134_04219,VBIDokDon50125_2262,,"Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34)",PATRIC,"Insect hormone biosynthesis","Oxidoreductases."
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.283,MED134_08896,VBIDokDon50125_0283,,"Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)",PATRIC,"Purine metabolism","Pentosyltransferases."
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1336,MED134_14296,VBIDokDon50125_1336,,"Dihydrolipoamide dehydrogenase (EC 1.8.1.4)",PATRIC,"Glycine, serine and threonine metabolism","Dihydrolipoyl dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.381,MED134_09406,VBIDokDon50125_0381,,"Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)",PATRIC,"Histidine metabolism","Transferring groups other than amino-acyl groups."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1937,MED134_02560,VBIDokDon50125_1937,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Glycerolipid metabolism","Aldehyde dehydrogenase (NAD(+))"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2616,MED134_06019,VBIDokDon50125_2616,,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",PATRIC,"Polyketide sugar unit biosynthesis","dTDP-4-dehydrorhamnose 3,5-epimerase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1234,MED134_13771,VBIDokDon50125_1234,,"CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)",PATRIC,"Glycerophospholipid metabolism","CDP-diacylglycerol--serine O-phosphatidyltransferase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.620,MED134_10625,VBIDokDon50125_0620,,"2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)",PATRIC,"Pentose and glucuronate interconversions","2-dehydro-3-deoxygluconokinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2141,MED134_03589,VBIDokDon50125_2141,,"B12 binding domain / kinase domain / Methylmalonyl-CoA mutase (EC 5.4.99.2)",PATRIC,"Valine, leucine and isoleucine degradation","Methylmalonyl-CoA mutase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1941,MED134_02580,VBIDokDon50125_1941,,"Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)",PATRIC,"Valine, leucine and isoleucine biosynthesis","Ketol-acid reductoisomerase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.927,MED134_12181,VBIDokDon50125_0927,,"N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)",PATRIC,"Purine metabolism","5-(carboxyamino)imidazole ribonucleotide mutase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.601,MED134_10530,VBIDokDon50125_0601,,"N-acetylglucosaminyltransferase (EC 2.4.1.-)",PATRIC,"Sphingolipid metabolism","Hexosyltransferases."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2629,MED134_06089,VBIDokDon50125_2629,,"Phosphoenolpyruvate carboxylase (EC 4.1.1.31)",PATRIC,"Reductive carboxylate cycle (CO2 fixation)","Phosphoenolpyruvate carboxylase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1714,MED134_01395,VBIDokDon50125_1714,,"Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)",PATRIC,"Lipopolysaccharide biosynthesis","Tetraacyldisaccharide 4'-kinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1934,MED134_02545,VBIDokDon50125_1934,,"Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)",PATRIC,"Atrazine degradation","Allophanate hydrolase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2644,MED134_06164,VBIDokDon50125_2644,,"Phosphomannomutase (EC 5.4.2.8) / Phosphoglucosamine mutase (EC 5.4.2.10)",PATRIC,"Fructose and mannose metabolism","Phosphomannomutase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.676,MED134_10905,VBIDokDon50125_0676,,"Tyrosyl-tRNA synthetase (EC 6.1.1.1)",PATRIC,"Aminoacyl-tRNA biosynthesis","Tyrosine--tRNA ligase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1079,MED134_12971,VBIDokDon50125_1079,,"Malate dehydrogenase (EC 1.1.1.37)",PATRIC,"Carbon fixation in photosynthetic organisms","Malate dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1105,MED134_13111,VBIDokDon50125_1105,,"Transketolase, C-terminal section (EC 2.2.1.1)",PATRIC,"Carbon fixation in photosynthetic organisms","Transketolase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.842,MED134_11761,VBIDokDon50125_0842,,"Urocanate hydratase (EC 4.2.1.49)",PATRIC,"Histidine metabolism","Urocanate hydratase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1469,MED134_00170,VBIDokDon50125_1469,,"Deoxyadenosine kinase (EC 2.7.1.76) @ Deoxyguanosine kinase (EC 2.7.1.113)",PATRIC,"Purine metabolism","Deoxyguanosine kinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1567,MED134_00655,VBIDokDon50125_1567,,"Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)",PATRIC,"Fatty acid biosynthesis","Biotin carboxylase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2597,MED134_05924,VBIDokDon50125_2597,,"Tyrosine-protein kinase (EC 2.7.10.2)",PATRIC,"T cell receptor signaling pathway","Non-specific protein-tyrosine kinase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.157,MED134_08211,VBIDokDon50125_0157,,"N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14)",PATRIC,"Arginine and proline metabolism","N-acyl-aliphatic-L-amino acid amidohydrolase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.832,MED134_11706,VBIDokDon50125_0832,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Terpenoid backbone biosynthesis","Acetyl-CoA C-acetyltransferase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1779,MED134_01760,VBIDokDon50125_1779,,"S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)",PATRIC,"Steroid biosynthesis","Isomerases."
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1108,MED134_13126,VBIDokDon50125_1108,,"Orotate phosphoribosyltransferase (EC 2.4.2.10)",PATRIC,"Drug metabolism - other enzymes","Orotate phosphoribosyltransferase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1571,MED134_00675,VBIDokDon50125_1571,,"Nitrite reductase probable [NAD(P)H] subunit (EC 1.7.1.4)",PATRIC,"Nitrogen metabolism","Nitrite reductase (NAD(P)H)"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.429,MED134_09656,VBIDokDon50125_0429,,"Guanylate kinase (EC 2.7.4.8)",PATRIC,"Purine metabolism","Guanylate kinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1441,MED134_00030,VBIDokDon50125_1441,,"Lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) [often with (EC 2.4.99.13) also]",PATRIC,"Lipopolysaccharide biosynthesis","(KDO)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2280,MED134_04314,VBIDokDon50125_2280,,"Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3)",PATRIC,"Glycine, serine and threonine metabolism","Aspartate kinase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1235,MED134_13776,VBIDokDon50125_1235,,"Cytosol nonspecific dipeptidase (EC 3.4.13.18)",PATRIC,"Histidine metabolism","Cytosol nonspecific dipeptidase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.132,MED134_08076,VBIDokDon50125_0132,,"Similar to glycogen synthase (EC 2.4.1.21)",PATRIC,"Starch and sucrose metabolism","Starch synthase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.406,MED134_09536,VBIDokDon50125_0406,,"ATP synthase F0 sector subunit c (EC 3.6.3.14)",PATRIC,"Methane metabolism","H(+)-transporting two-sector ATPase"
