Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.851","MED134_11806","VBIDokDon50125_0851","PATRIC.313590.6.NZ_CH672388.CDS.1014227.1014688.fwd","PATRIC","CDS",1014227,1014688,462,"+","FIG00638284","PLF_326319_00001909","PGF_00128538","ZP_01050662.1",153,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.852","MED134_11811","VBIDokDon50125_0852","PATRIC.313590.6.NZ_CH672388.CDS.1014762.1015148.rev","PATRIC","CDS",1014762,1015148,387,"-","FIG01619125","PLF_326319_00002335","PGF_00419461","ZP_01050663.1",128,,"Conserved protein YuxK",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.853","MED134_11816","VBIDokDon50125_0853","PATRIC.313590.6.NZ_CH672388.CDS.1015256.1016059.fwd","PATRIC","CDS",1015256,1016059,804,"+","FIG00510130","PLF_326319_00002436","PGF_01671660","ZP_01050664.1",267,,"Transcriptional regulator, AraC family",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.854","MED134_11821","VBIDokDon50125_0854","PATRIC.313590.6.NZ_CH672388.CDS.1016117.1017280.fwd","PATRIC","CDS",1016117,1017280,1164,"+","FIG00561498","PLF_326319_00002639","PGF_04314223","ZP_01050665.1",387,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.855","MED134_11826","VBIDokDon50125_0855","PATRIC.313590.6.NZ_CH672388.CDS.1017286.1017954.rev","PATRIC","CDS",1017286,1017954,669,"-","FIG01386399","PLF_326319_00002612","PGF_00400494","ZP_01050666.1",222,,"kyphoscoliosis",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.856","MED134_11831","VBIDokDon50125_0856","PATRIC.313590.6.NZ_CH672388.CDS.1017959.1018369.rev","PATRIC","CDS",1017959,1018369,411,"-","FIG00638284","PLF_326319_00002605","PGF_01526876","ZP_01050667.1",136,"lysS","hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.857","MED134_11836","VBIDokDon50125_0857","PATRIC.313590.6.NZ_CH672388.CDS.1018647.1020248.rev","PATRIC","CDS",1018647,1020248,1602,"-","FIG00000300","PLF_326319_00000431","PGF_00710545","ZP_01050668.1",533,,"Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)","GO:0004824|lysine-tRNA ligase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.858","MED134_11841","VBIDokDon50125_0858","PATRIC.313590.6.NZ_CH672388.CDS.1020476.1020625.rev","PATRIC","CDS",1020476,1020625,150,"-",,"PLF_326319_00002845","PGF_01527022","ZP_01050669.1",49,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.859","MED134_11846","VBIDokDon50125_0859","PATRIC.313590.6.NZ_CH672388.CDS.1020701.1021489.fwd","PATRIC","CDS",1020701,1021489,789,"+","FIG00638284","PLF_326319_00000039","PGF_01527705","ZP_01050670.1",262,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.860","MED134_11851","VBIDokDon50125_0860","PATRIC.313590.6.NZ_CH672388.CDS.1021665.1022288.fwd","PATRIC","CDS",1021665,1022288,624,"+","FIG00000528","PLF_326319_00000698","PGF_04007946","ZP_01050671.1",207,,"Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)","GO:0033819|lipoyl(octanoyl) transferase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.861","MED134_11856","VBIDokDon50125_0861","PATRIC.313590.6.NZ_CH672388.CDS.1022324.1024780.rev","PATRIC","CDS",1022324,1024780,2457,"-","FIG00649217","PLF_326319_00001685","PGF_08225224","ZP_01050672.1",818,"rnhB","hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.862","MED134_11861","VBIDokDon50125_0862","PATRIC.313590.6.NZ_CH672388.CDS.1024875.1025513.rev","PATRIC","CDS",1024875,1025513,639,"-","FIG00000126","PLF_326319_00000974","PGF_00048556","ZP_01050673.1",212,,"Ribonuclease HII (EC 3.1.26.4)","GO:0004523|ribonuclease H activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.863","MED134_11866","VBIDokDon50125_0863","PATRIC.313590.6.NZ_CH672388.CDS.1025665.1027587.fwd","PATRIC","CDS",1025665,1027587,1923,"+","FIG00649072","PLF_326319_00001686","PGF_08225224","ZP_01050674.1",640,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.864","MED134_11871","VBIDokDon50125_0864","PATRIC.313590.6.NZ_CH672388.CDS.1033821.1034330.fwd","PATRIC","CDS",1033821,1034330,510,"+","FIG00638284","PLF_326319_00001910","PGF_00753930","ZP_01050675.1",169,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.865","MED134_11876","VBIDokDon50125_0865","PATRIC.313590.6.NZ_CH672388.CDS.1034358.1034537.rev","PATRIC","CDS",1034358,1034537,180,"-","FIG00638284","PLF_326319_00001911","PGF_01526626","ZP_01050676.1",59,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.866","MED134_11881","VBIDokDon50125_0866","PATRIC.313590.6.NZ_CH672388.CDS.1034566.1035327.rev","PATRIC","CDS",1034566,1035327,762,"-","FIG00001103","PLF_326319_00000629","PGF_00023835","ZP_01050677.1",253,,"N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.867","MED134_11886","VBIDokDon50125_0867","PATRIC.313590.6.NZ_CH672388.CDS.1035679.1035969.fwd","PATRIC","CDS",1035679,1035969,291,"+","FIG00410305","PLF_326319_00000508","PGF_00425947","ZP_01050678.1",96,,"FIG00412596: hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.868","MED134_11891","VBIDokDon50125_0868","PATRIC.313590.6.NZ_CH672388.CDS.1035976.1036266.fwd","PATRIC","CDS",1035976,1036266,291,"+","FIG00410085","PLF_326319_00000503","PGF_00425945","ZP_01050679.1",96,,"FIG00410305: hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.869","MED134_11896","VBIDokDon50125_0869","PATRIC.313590.6.NZ_CH672388.CDS.1036585.1038132.fwd","PATRIC","CDS",1036585,1038132,1548,"+","FIG00039528","PLF_326319_00000977","PGF_03000099","ZP_01050680.1",515,,"Ribonuclease Y",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.870","MED134_11901","VBIDokDon50125_0870","PATRIC.313590.6.NZ_CH672388.CDS.1038323.1038472.fwd","PATRIC","CDS",1038323,1038472,150,"+",,"PLF_326319_00003089","PGF_01527145","ZP_01050681.1",49,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.871","MED134_11906","VBIDokDon50125_0871","PATRIC.313590.6.NZ_CH672388.CDS.1038572.1039186.fwd","PATRIC","CDS",1038572,1039186,615,"+","FIG00651556","PLF_326319_00000624","PGF_00023728","ZP_01050682.1",204,,"N-succinyl-L-citrulline:glutamate succinyltransferase",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.872","MED134_11911","VBIDokDon50125_0872","PATRIC.313590.6.NZ_CH672388.CDS.1039262.1040371.fwd","PATRIC","CDS",1039262,1040371,1110,"+","FIG00000301","PLF_326319_00001219","PGF_02862285","ZP_01050683.1",369,,"Argininosuccinate synthase (EC 6.3.4.5)","GO:0004055|argininosuccinate synthase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.62","MED134_07716","VBIDokDon50125_0062","PATRIC.313590.6.NZ_CH672388.CDS.103986.104525.fwd","PATRIC","CDS",103986,104525,540,"+","FIG00638284","PLF_326319_00001822","PGF_08225224","ZP_01049388.1",179,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.873","MED134_11916","VBIDokDon50125_0873","PATRIC.313590.6.NZ_CH672388.CDS.1040368.1041342.fwd","PATRIC","CDS",1040368,1041342,975,"+","FIG00000358","PLF_326319_00000625","PGF_12668183","ZP_01050684.1",324,,"N-succinyl-gamma-glutamyl-phosphate reductase",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.874","MED134_11921","VBIDokDon50125_0874","PATRIC.313590.6.NZ_CH672388.CDS.1041361.1042149.fwd","PATRIC","CDS",1041361,1042149,789,"+","FIG00133325","PLF_326319_00000924","PGF_07609122","ZP_01050685.1",262,,"Pyrroline-5-carboxylate reductase (EC 1.5.1.2)","GO:0004735|pyrroline-5-carboxylate reductase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.875","MED134_11926","VBIDokDon50125_0875","PATRIC.313590.6.NZ_CH672388.CDS.1042168.1043292.fwd","PATRIC","CDS",1042168,1043292,1125,"+","FIG00001168","PLF_326319_00000353","PGF_12789617","ZP_01050686.1",374,,"N-succinylornithine aminotransferase",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.876","MED134_11931","VBIDokDon50125_0876","PATRIC.313590.6.NZ_CH672388.CDS.1043289.1044254.fwd","PATRIC","CDS",1043289,1044254,966,"+","FIG00000084","PLF_326319_00000632","PGF_00023933","ZP_01050687.1",321,,"N-succinylornithine carbamoyltransferase (EC 2.1.3.11)",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.877","MED134_11936","VBIDokDon50125_0877","PATRIC.313590.6.NZ_CH672388.CDS.1044244.1045029.fwd","PATRIC","CDS",1044244,1045029,786,"+","FIG00000383","PLF_326319_00001207","PGF_12864520","ZP_01050688.1",261,,"N-succinylglutamate kinase",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.878","MED134_11941","VBIDokDon50125_0878","PATRIC.313590.6.NZ_CH672388.CDS.1045020.1046090.fwd","PATRIC","CDS",1045020,1046090,1071,"+","FIG00020897","PLF_326319_00000355","PGF_12948640","ZP_01050689.1",356,,"N-succinyl-L-citrulline deacetylase",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.63","MED134_07721","VBIDokDon50125_0063","PATRIC.313590.6.NZ_CH672388.CDS.104539.104826.rev","PATRIC","CDS",104539,104826,288,"-","FIG00638284","PLF_326319_00001823","PGF_01526591","ZP_01049389.1",95,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.879","MED134_11946","VBIDokDon50125_0879","PATRIC.313590.6.NZ_CH672388.CDS.1046145.1047428.fwd","PATRIC","CDS",1046145,1047428,1284,"+","FIG00000333","PLF_326319_00000596","PGF_02620298","ZP_01050690.1",427,,"Argininosuccinate lyase (EC 4.3.2.1)","GO:0004056|argininosuccinate lyase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.880","MED134_11951","VBIDokDon50125_0880","PATRIC.313590.6.NZ_CH672388.CDS.1047507.1047767.fwd","PATRIC","CDS",1047507,1047767,261,"+","FIG00638284","PLF_326319_00001687","PGF_08225224","ZP_01050691.1",86,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.881","MED134_11956","VBIDokDon50125_0881","PATRIC.313590.6.NZ_CH672388.CDS.1047934.1048830.rev","PATRIC","CDS",1047934,1048830,897,"-","FIG00638284","PLF_326319_00001827","PGF_08225224","ZP_01050692.1",298,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.64","MED134_07726","VBIDokDon50125_0064","PATRIC.313590.6.NZ_CH672388.CDS.104827.106950.rev","PATRIC","CDS",104827,106950,2124,"-","FIG00000927","PLF_326319_00001041","PGF_00021022","ZP_01049390.1",707,,"Methylmalonyl-CoA mutase large subunit, MutB (EC 5.4.99.2)","GO:0004494|methylmalonyl-CoA mutase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.882","MED134_11961","VBIDokDon50125_0882","PATRIC.313590.6.NZ_CH672388.CDS.1048986.1050101.rev","PATRIC","CDS",1048986,1050101,1116,"-","FIG00000341","PLF_326319_00000562","PGF_07191648","ZP_01050693.1",371,,"3-isopropylmalate dehydrogenase (EC 1.1.1.85)","GO:0003862|3-isopropylmalate dehydrogenase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.883","MED134_11966","VBIDokDon50125_0883","PATRIC.313590.6.NZ_CH672388.CDS.1050179.1050793.rev","PATRIC","CDS",1050179,1050793,615,"-","FIG00000282","PLF_326319_00000254","PGF_06660812","ZP_01050694.1",204,,"3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)","GO:0003861|3-isopropylmalate dehydratase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.884","MED134_11971","VBIDokDon50125_0884","PATRIC.313590.6.NZ_CH672388.CDS.1050793.1052178.rev","PATRIC","CDS",1050793,1052178,1386,"-","FIG00000280","PLF_326319_00001059","PGF_00419420","ZP_01050695.1",461,,"3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)","GO:0003861|3-isopropylmalate dehydratase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.885","MED134_11976","VBIDokDon50125_0885","PATRIC.313590.6.NZ_CH672388.CDS.1052229.1053410.rev","PATRIC","CDS",1052229,1053410,1182,"-","FIG00000157","PLF_326319_00000232","PGF_04294677","ZP_01050696.1",393,,"2-isopropylmalate synthase (EC 2.3.3.13)","GO:0003852|2-isopropylmalate synthase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.886","MED134_11981","VBIDokDon50125_0886","PATRIC.313590.6.NZ_CH672388.CDS.1053520.1055082.fwd","PATRIC","CDS",1053520,1055082,1563,"+","FIG00930193","PLF_326319_00000319","PGF_00001049","ZP_01050697.1",520,,"FIG00930195: hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.887","MED134_11986","VBIDokDon50125_0887","PATRIC.313590.6.NZ_CH672388.CDS.1055123.1055983.fwd","PATRIC","CDS",1055123,1055983,861,"+","FIG01307847","PLF_326319_00000776","PGF_07201805","ZP_01050698.1",286,,"Permease of the drug/metabolite transporter (DMT) superfamily",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.888","MED134_11991","VBIDokDon50125_0888","PATRIC.313590.6.NZ_CH672388.CDS.1055991.1056626.rev","PATRIC","CDS",1055991,1056626,636,"-","FIG00042847","PLF_326319_00001388","PGF_10289069","ZP_01050699.1",211,,"RNA pseudouridylate synthase, group 1",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.889","MED134_11996","VBIDokDon50125_0889","PATRIC.313590.6.NZ_CH672388.CDS.1056715.1057533.rev","PATRIC","CDS",1056715,1057533,819,"-","FIG00000364","PLF_326319_00000258","PGF_00419915","ZP_01050700.1",272,,"3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)","GO:0003864|3-methyl-2-oxobutanoate hydroxymethyltransferase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.890","MED134_12001","VBIDokDon50125_0890","PATRIC.313590.6.NZ_CH672388.CDS.1057621.1058103.fwd","PATRIC","CDS",1057621,1058103,483,"+","FIG00693847","PLF_326319_00001688","PGF_08225224","ZP_01050701.1",160,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.891","MED134_12006","VBIDokDon50125_0891","PATRIC.313590.6.NZ_CH672388.CDS.1058117.1058623.rev","PATRIC","CDS",1058117,1058623,507,"-",,"PLF_326319_00001813","PGF_01526585","ZP_01050702.1",168,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.892",,"VBIDokDon50125_0892","PATRIC.313590.6.NZ_CH672388.CDS.1058649.1058822.fwd","PATRIC","CDS",1058649,1058822,174,"+","FIG00638284","PLF_326319_00003090","PGF_01527146",,57,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.893","MED134_12011","VBIDokDon50125_0893","PATRIC.313590.6.NZ_CH672388.CDS.1058946.1060382.rev","PATRIC","CDS",1058946,1060382,1437,"-","FIG00000551","PLF_326319_00000332","PGF_00016225","ZP_01050703.1",478,,"L-serine dehydratase, beta subunit (EC 4.3.1.17) / L-serine dehydratase, alpha subunit (EC 4.3.1.17)","GO:0003941|L-serine ammonia-lyase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.894","MED134_12016","VBIDokDon50125_0894","PATRIC.313590.6.NZ_CH672388.CDS.1060379.1060888.rev","PATRIC","CDS",1060379,1060888,510,"-","FIG01791564","PLF_326319_00000638","PGF_00024249","ZP_01050704.1",169,,"N1-spermidine/spermine acetyltransferase PaiA",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.895","MED134_12021","VBIDokDon50125_0895","PATRIC.313590.6.NZ_CH672388.CDS.1060895.1061419.rev","PATRIC","CDS",1060895,1061419,525,"-","FIG00638284","PLF_326319_00001912","PGF_01526627","ZP_01050705.1",174,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.896","MED134_12026","VBIDokDon50125_0896","PATRIC.313590.6.NZ_CH672388.CDS.1061607.1062629.rev","PATRIC","CDS",1061607,1062629,1023,"-","FIG00022300","PLF_326319_00001590","PGF_01033123","ZP_01050706.1",340,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.897","MED134_12031","VBIDokDon50125_0897","PATRIC.313590.6.NZ_CH672388.CDS.1062680.1064323.rev","PATRIC","CDS",1062680,1064323,1644,"-","FIG01633608","PLF_326319_00001403","PGF_00053488","ZP_01050707.1",547,,"Sodium/sugar cotransporter",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.898","MED134_12036","VBIDokDon50125_0898","PATRIC.313590.6.NZ_CH672388.CDS.1064504.1067683.rev","PATRIC","CDS",1064504,1067683,3180,"-","FIG00075702","PLF_326319_00003915","PGF_06855511","ZP_01050708.1",1059,,"Glycerol kinase (EC 2.7.1.30) / Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)","GO:0004370|glycerol kinase activity;GO:0004368|glycerol-3-phosphate dehydrogenase activity;GO:0004368|sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity;GO:0004368|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.899","MED134_12041","VBIDokDon50125_0899","PATRIC.313590.6.NZ_CH672388.CDS.1067774.1069048.rev","PATRIC","CDS",1067774,1069048,1275,"-","FIG00024401","PLF_326319_00001586","PGF_04521913","ZP_01050709.1",424,,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)","GO:0047480|UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.900","MED134_12046","VBIDokDon50125_0900","PATRIC.313590.6.NZ_CH672388.CDS.1069119.1070780.rev","PATRIC","CDS",1069119,1070780,1662,"-","FIG00029939","PLF_326319_00000288","PGF_05080293","ZP_01050710.1",553,,"GldJ",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.65","MED134_07731","VBIDokDon50125_0065","PATRIC.313590.6.NZ_CH672388.CDS.106943.107482.rev","PATRIC","CDS",106943,107482,540,"-","FIG00638284","PLF_326319_00001824","PGF_01526592","ZP_01049391.1",179,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.901","MED134_12051","VBIDokDon50125_0901","PATRIC.313590.6.NZ_CH672388.CDS.1071543.1074803.fwd","PATRIC","CDS",1071543,1074803,3261,"+","FIG00650690","PLF_326319_00000243","PGF_01526777","ZP_01050711.1",1086,,"FIG00654218: hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.902","MED134_12056","VBIDokDon50125_0902","PATRIC.313590.6.NZ_CH672388.CDS.1074889.1076040.fwd","PATRIC","CDS",1074889,1076040,1152,"+","FIG00650336","PLF_326319_00001689","PGF_08225224","ZP_01050712.1",383,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.66","MED134_07736","VBIDokDon50125_0066","PATRIC.313590.6.NZ_CH672388.CDS.107539.108894.rev","PATRIC","CDS",107539,108894,1356,"-","FIG00000927","PLF_326319_00001042","PGF_00021023","ZP_01049392.1",451,,"Methylmalonyl-CoA mutase small subunit, MutA (EC 5.4.99.2)","GO:0004494|methylmalonyl-CoA mutase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.903","MED134_12061","VBIDokDon50125_0903","PATRIC.313590.6.NZ_CH672388.CDS.1076074.1076556.fwd","PATRIC","CDS",1076074,1076556,483,"+","FIG00000720","PLF_326319_00001249","PGF_08837849","ZP_01050713.1",160,,"Cytidine deaminase (EC 3.5.4.5)","GO:0004126|cytidine deaminase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.904","MED134_12066","VBIDokDon50125_0904","PATRIC.313590.6.NZ_CH672388.CDS.1076740.1077738.fwd","PATRIC","CDS",1076740,1077738,999,"+","FIG00053889","PLF_326319_00000926","PGF_00502238","ZP_01050714.1",332,,"Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)","GO:0004739|pyruvate dehydrogenase (acetyl-transferring) activity"
