gene_id	gene_name	product	kegg_pathway
MED134_07189	unspecified	sodium/solute symporter	unspecified
MED134_07184	unspecified	PIG-L family protein	unspecified
MED134_07179	unspecified	small-conductance mechanosensitive channel	unspecified
MED134_07174	corA	Mg and Co transport protein CorA	unspecified
MED134_07169	unspecified	hypothetical protein	unspecified
MED134_07164	unspecified	Maf-like protein	00240 Pyrimidine metabolism [PATH:dok00240]
MED134_07159	unspecified	UbiA prenyltransferase family protein	unspecified
MED134_07154	unspecified	haloacid dehalogenase-like hydrolase	00540 Lipopolysaccharide biosynthesis [PATH:dok00540]
MED134_07149	unspecified	hypothetical protein	unspecified
MED134_07144	unspecified	cytochrome c assembly protein	unspecified
MED134_07139	unspecified	transcription regulator, LuxR/FixJ family	unspecified
MED134_07134	fumC	fumarate hydratase class II	00020 Citrate cycle (TCA cycle) [PATH:dok00020],00620 Pyruvate metabolism [PATH:dok00620]
MED134_07129	unspecified	hypothetical protein	unspecified
MED134_07124	unspecified	insulinase (peptidase family M16)	unspecified
MED134_07119	unspecified	rhodopsin	unspecified
MED134_07114	blh	15,15'-beta-carotene dioxygenase	unspecified
MED134_07109	unspecified	prolyl oligopeptidase family protein	unspecified
MED134_07104	unspecified	X-Pro dipeptidyl-peptidase (S15 family)	unspecified
MED134_07099	unspecified	hypothetical protein	unspecified
MED134_07094	unspecified	GTP-dependent nucleic acid-binding protein	unspecified
MED134_07089	unspecified	sensor of blue-light using FAD	unspecified
MED134_07079	unspecified	McrBC 5-methylcytosine restriction system component	unspecified
MED134_07074	unspecified	ATPase family associated with various cellular activities (AAA)	unspecified
MED134_07069	unspecified	hypothetical protein	unspecified
MED134_07064	hsdR1	type I site-specific deoxyribonuclease	unspecified
MED134_07059	unspecified	hypothetical protein	unspecified
MED134_07054	unspecified	hypothetical protein	unspecified
MED134_07049	unspecified	hypothetical protein	unspecified
MED134_07044	unspecified	hypothetical protein	unspecified
MED134_07039	unspecified	hypothetical protein	unspecified
MED134_07034	unspecified	hypothetical protein	unspecified
MED134_07029	hsdS1	type I site-specific deoxyribonuclease	unspecified
MED134_07024	hsdM1	DNA adenine methylase	unspecified
MED134_07019	unspecified	hypothetical protein	unspecified
MED134_07014	hsdM3	DNA adenine methylase	unspecified
MED134_07009	unspecified	hypothetical protein	unspecified
MED134_07004	unspecified	hypothetical protein	unspecified
MED134_06999	unspecified	hypothetical protein	unspecified
MED134_06994	unspecified	hypothetical protein	unspecified
MED134_06989	unspecified	hypothetical protein	unspecified
MED134_06984	unspecified	hypothetical protein	unspecified
MED134_06974	unspecified	hypothetical protein	unspecified
MED134_06969	unspecified	hypothetical protein	unspecified
MED134_06964	unspecified	hypothetical protein	unspecified
MED134_06959	unspecified	hypothetical protein	unspecified
MED134_06954	unspecified	hypothetical protein	unspecified
MED134_06949	unspecified	hypothetical protein	unspecified
MED134_06944	unspecified	ParA family protein	unspecified
MED134_06939	unspecified	hypothetical protein	unspecified
MED134_06934	bmgA	mobilization protein	unspecified
MED134_06929	unspecified	hypothetical protein	unspecified
MED134_06924	traP	DNA primase	unspecified
MED134_06919	unspecified	virulence-associated protein E	unspecified
MED134_15094	unspecified	hypothetical protein	unspecified
MED134_06909	unspecified	hypothetical protein	unspecified
MED134_06904	unspecified	phage integrase family protein	unspecified
MED134_06894	hsdR3	type I site-specific deoxyribonuclease	unspecified
MED134_06889	unspecified	hypothetical protein	unspecified
MED134_06884	unspecified	hypothetical protein	unspecified
MED134_06879	hsdS3	type I site-specific deoxyribonuclease	unspecified
MED134_06874	hsdM5	DNA adenine methylase	unspecified
MED134_06869	unspecified	hypothetical protein	unspecified
MED134_06864	unspecified	short chain dehydrogenase	unspecified
MED134_06859	unspecified	hypothetical protein	unspecified
MED134_06854	unspecified	zinc-binding dehydrogenase	unspecified
MED134_06849	unspecified	transcription regulator, AraC family	unspecified
MED134_06844	kefC	glutathione-regulated potassium-efflux system protein	unspecified
MED134_06839	unspecified	hypothetical protein	unspecified
MED134_06834	susC3	TonB dependent/ligand-gated channel	unspecified
MED134_06829	unspecified	hypothetical protein	unspecified
MED134_06824	unspecified	hypothetical protein	unspecified
MED134_06819	unspecified	hypothetical protein	unspecified
MED134_06814	unspecified	oxidoreductase family protein	00920 Sulfur metabolism [PATH:dok00920]
MED134_06809	unspecified	hypothetical protein	unspecified
MED134_06804	unspecified	two-component system response regulator	unspecified
MED134_06799	unspecified	heme NO binding protein	unspecified
MED134_06794	unspecified	two-component system sensor histidine kinase	unspecified
MED134_06789	unspecified	hypothetical protein	unspecified
MED134_06784	unspecified	two-component system sensor histidine kinase	unspecified
MED134_06779	unspecified	hypothetical protein	unspecified
MED134_06774	unspecified	two-component system response regulator, LytR/AlgR family	02020 Two-component system [PATH:dok02020]
MED134_06769	unspecified	hypothetical protein	unspecified
MED134_15123	unspecified	hypothetical protein	unspecified
MED134_15124	unspecified	hypothetical protein	unspecified
MED134_06754	unspecified	hypothetical protein	unspecified
MED134_06749	unspecified	hypothetical protein	unspecified
MED134_15127	unspecified	hypothetical protein	unspecified
MED134_06744	unspecified	polysaccharide transporter	unspecified
MED134_06739	unspecified	hypothetical protein	unspecified
MED134_06734	unspecified	glycosyl transferase group 1	unspecified
MED134_06729	unspecified	cellulase (glycosyl hydrolase family 5)	unspecified
MED134_06724	unspecified	hypothetical protein	unspecified
MED134_06719	unspecified	hypothetical protein	unspecified
MED134_06714	unspecified	glycosyl transferase family 2	unspecified
MED134_06709	manA1	mannose-6-phosphate isomerase	00051 Fructose and mannose metabolism [PATH:dok00051],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_06704	unspecified	MarC family integral membrane protein	unspecified
MED134_06699	unspecified	hypothetical protein	unspecified
MED134_06694	unspecified	universal stress protein UspA	unspecified
MED134_06689	unspecified	hypothetical protein	unspecified
MED134_06684	unspecified	putative zinc-transporting P-type ATPase	unspecified
MED134_06679	fur1	ferric uptake regulation protein	unspecified
MED134_06674	susC5	TonB dependent/ligand-gated channel	unspecified
MED134_15143	unspecified	putative secreted protein	unspecified
MED134_06669	unspecified	efflux transporter, RND family, MFP subunit	02020 Two-component system [PATH:dok02020]
MED134_06664	unspecified	hypothetical protein	unspecified
MED134_06659	unspecified	putative heavy metal transport/detoxification protein	unspecified
MED134_06654	unspecified	hypothetical protein	unspecified
MED134_06649	unspecified	outer membrane efflux protein	unspecified
MED134_06644	unspecified	putative copper/silver resistance-related permease	02020 Two-component system [PATH:dok02020]
MED134_06639	unspecified	hypothetical protein	unspecified
MED134_06634	unspecified	phage integrase family protein	unspecified
MED134_06629	apt	adenine phosphoribosyltransferase	00230 Purine metabolism [PATH:dok00230]
MED134_06624	unspecified	TonB dependent transducer	unspecified
MED134_06619	unspecified	FecR protein	02020 Two-component system [PATH:dok02020]
MED134_06614	unspecified	RNA polymerase sigma factor, sigma-70 family	unspecified
MED134_06609	unspecified	hypothetical protein	unspecified
MED134_06604	unspecified	major facilitator superfamily permease	unspecified
MED134_15159	unspecified	putative membrane protein	unspecified
MED134_06594	fahA	fumarylacetoacetase	00350 Tyrosine metabolism [PATH:dok00350],00643 Styrene degradation [PATH:dok00643]
MED134_06589	glyA	serine hydroxymethyltransferase	00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00680 Methane metabolism [PATH:dok00680],00260 Glycine, serine and threonine metabolism [PATH:dok00260],00460 Cyanoamino acid metabolism [PATH:dok00460],00670 One carbon pool by folate [PATH:dok00670]
MED134_06584	unspecified	hypothetical protein	unspecified
MED134_15163	unspecified	hypothetical protein	unspecified
MED134_06574	unspecified	hypothetical protein	unspecified
MED134_06569	unspecified	outer membrane protein (OmpH-like)	unspecified
MED134_06564	unspecified	hypothetical protein	unspecified
MED134_06559	unspecified	peptidylprolyl isomerase	unspecified
MED134_06554	unspecified	hypothetical protein	unspecified
MED134_06549	unspecified	peptidylprolyl isomerase	unspecified
MED134_06544	unspecified	MoxR-like ATPase	unspecified
MED134_06539	unspecified	hypothetical protein	unspecified
MED134_06534	unspecified	aconitate hydratase	00020 Citrate cycle (TCA cycle) [PATH:dok00020],00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]
MED134_06529	unspecified	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	unspecified
MED134_06524	unspecified	transcriptional regulator	unspecified
MED134_06519	unspecified	transcriptional regulator, CAP family	02020 Two-component system [PATH:dok02020],02024 Quorum sensing [PATH:dok02024]
MED134_06514	unspecified	hypothetical protein	unspecified
MED134_06509	unspecified	thioredoxin family protein	unspecified
MED134_06504	unspecified	hypothetical protein	unspecified
MED134_06499	miaE	tRNA-(MS[2]IO[6]A)-hydroxylase	unspecified
MED134_06494	dnaX	DNA polymerase III subunit gamma/tau	03030 DNA replication [PATH:dok03030],03430 Mismatch repair [PATH:dok03430],03440 Homologous recombination [PATH:dok03440]
MED134_06489	unspecified	hypothetical protein	unspecified
MED134_06484	unspecified	hypothetical protein	unspecified
MED134_06479	unspecified	hypothetical protein	unspecified
MED134_06474	unspecified	hypothetical protein	unspecified
MED134_06469	unspecified	hypothetical protein	unspecified
MED134_06464	unspecified	amidohydrolase family protein	unspecified
MED134_06459	unspecified	two-component system response regulator, LytR/AlgR family	unspecified
MED134_06454	unspecified	hypothetical protein	unspecified
MED134_06449	unspecified	peptidase family M20/M25/M40	unspecified
MED134_06444	pyrD	dihydroorotate dehydrogenase	00240 Pyrimidine metabolism [PATH:dok00240]
MED134_06439	unspecified	hypothetical protein	unspecified
MED134_06434	unspecified	LysE type translocator	unspecified
MED134_06429	malL	oligo-1,6-glucosidase	00052 Galactose metabolism [PATH:dok00052],00500 Starch and sucrose metabolism [PATH:dok00500]
MED134_06424	unspecified	hypothetical protein	unspecified
MED134_06419	pyrR1	PyrR bifunctional protein	00240 Pyrimidine metabolism [PATH:dok00240]
MED134_06414	pyrB	aspartate carbamoyltransferase	00240 Pyrimidine metabolism [PATH:dok00240],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]
MED134_06409	unspecified	hypothetical protein	unspecified
MED134_06404	rnz	ribonuclease Z	unspecified
MED134_06399	unspecified	hypothetical protein	unspecified
MED134_06394	pdxH1	pyridoxamine 5'-phosphate oxidase	00750 Vitamin B6 metabolism [PATH:dok00750]
MED134_06389	unspecified	phosphoglycerate mutase family protein	unspecified
MED134_06384	ppk1	polyphosphate kinase	00190 Oxidative phosphorylation [PATH:dok00190],03018 RNA degradation [PATH:dok03018]
MED134_06379	ppx	exopolyphosphatase	00230 Purine metabolism [PATH:dok00230]
MED134_06374	unspecified	hypothetical protein	unspecified
MED134_06369	unspecified	hypothetical protein	unspecified
MED134_06364	unspecified	CDP-alcohol phosphatidyltransferase	unspecified
MED134_06359	unspecified	hypothetical protein	unspecified
MED134_06349	unspecified	hypothetical protein	unspecified
MED134_06344	unspecified	glycoprotease family protein	unspecified
MED134_06339	unspecified	hypothetical protein	unspecified
MED134_06334	pfkA	6-phosphofructokinase	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00030 Pentose phosphate pathway [PATH:dok00030],00051 Fructose and mannose metabolism [PATH:dok00051],00052 Galactose metabolism [PATH:dok00052],00680 Methane metabolism [PATH:dok00680],03018 RNA degradation [PATH:dok03018]
MED134_06329	gapA1	glyceraldehyde-3-phosphate dehydrogenase A	00010 Glycolysis / Gluconeogenesis [PATH:dok00010]
MED134_06319	unspecified	hypothetical protein	unspecified
MED134_06314	unspecified	hypothetical protein	unspecified
MED134_06309	unspecified	hypothetical protein	unspecified
MED134_06304	unspecified	hypothetical protein	unspecified
MED134_06299	unspecified	hypothetical protein	unspecified
MED134_06294	unspecified	FAD dependent oxidoreductase	unspecified
MED134_06289	yngG	hydroxymethylglutaryl-CoA lyase	00650 Butanoate metabolism [PATH:dok00650],00280 Valine, leucine and isoleucine degradation [PATH:dok00280],00907 Pinene, camphor and geraniol degradation [PATH:dok00907]
MED134_06284	unspecified	major facilitator superfamily permease	unspecified
MED134_06279	unspecified	hypothetical protein	unspecified
MED134_06274	unspecified	dienelactone hydrolase family protein	00364 Fluorobenzoate degradation [PATH:dok00364],00361 Chlorocyclohexane and chlorobenzene degradation [PATH:dok00361],00623 Toluene degradation [PATH:dok00623]
MED134_06269	unspecified	peptidase family M28	unspecified
MED134_06264	unspecified	hypothetical protein	00500 Starch and sucrose metabolism [PATH:dok00500]
MED134_06259	unspecified	radical SAM superfamily protein	unspecified
MED134_06254	unspecified	dihydrouridine synthase	unspecified
MED134_06249	unspecified	zinc-binding dehydrogenase	unspecified
MED134_06244	pyc	pyruvate carboxylase	00020 Citrate cycle (TCA cycle) [PATH:dok00020],00620 Pyruvate metabolism [PATH:dok00620]
MED134_06239	unspecified	acyl-CoA dehydrogenase	unspecified
MED134_06234	fadA	acetyl-CoA C-acyltransferase	00071 Fatty acid degradation [PATH:dok00071],00592 alpha-Linolenic acid metabolism [PATH:dok00592],00280 Valine, leucine and isoleucine degradation [PATH:dok00280],00907 Pinene, camphor and geraniol degradation [PATH:dok00907],00362 Benzoate degradation [PATH:dok00362]
MED134_06229	fadB	3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase	00650 Butanoate metabolism [PATH:dok00650],00071 Fatty acid degradation [PATH:dok00071],00362 Benzoate degradation [PATH:dok00362]
MED134_06224	unspecified	transcriptional regulator, MarR family	unspecified
MED134_06219	unspecified	two-component system sensor histidine kinase	unspecified
MED134_06214	unspecified	hypothetical protein	unspecified
MED134_06209	unspecified	hypothetical protein	unspecified
MED134_06204	unspecified	hypothetical protein	unspecified
MED134_06199	unspecified	hypothetical protein	01501 beta-Lactam resistance [PATH:dok01501]
MED134_06194	unspecified	hypothetical protein	unspecified
MED134_06189	adk1	adenylate kinase	00230 Purine metabolism [PATH:dok00230],00730 Thiamine metabolism [PATH:dok00730]
MED134_06184	unspecified	hypothetical protein	unspecified
MED134_06179	unspecified	hypothetical protein	unspecified
MED134_06174	ggt1	gamma-glutamyltranspeptidase	00430 Taurine and hypotaurine metabolism [PATH:dok00430],00460 Cyanoamino acid metabolism [PATH:dok00460],00480 Glutathione metabolism [PATH:dok00480]
MED134_06169	unspecified	hypothetical protein	00770 Pantothenate and CoA biosynthesis [PATH:dok00770]
MED134_06164	unspecified	phosphoglucomutase/phosphomannomutase family protein	00051 Fructose and mannose metabolism [PATH:dok00051],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_06159	unspecified	aminotransferase class-V	unspecified
MED134_06154	unspecified	lipid A biosynthesis acyltransferase	00540 Lipopolysaccharide biosynthesis [PATH:dok00540]
MED134_06149	unspecified	rhomboid family protein	unspecified
MED134_06144	unspecified	hypothetical protein	unspecified
MED134_06139	unspecified	hypothetical protein	unspecified
MED134_06134	unspecified	pseudouridylate synthase	unspecified
MED134_06129	unspecified	cold shock domain protein CspD	unspecified
MED134_06124	unspecified	hypothetical protein	unspecified
MED134_06119	unspecified	hypothetical protein	unspecified
MED134_06114	unspecified	hypothetical protein	unspecified
MED134_06109	unspecified	SpoU rRNA methylase family protein	unspecified
MED134_06104	unspecified	hypothetical protein	unspecified
MED134_06099	unspecified	peptidase family M16	unspecified
MED134_06094	unspecified	peptidase family M16	unspecified
MED134_06089	ppc	phosphoenolpyruvate carboxylase	00620 Pyruvate metabolism [PATH:dok00620],00680 Methane metabolism [PATH:dok00680]
MED134_06079	unspecified	hypothetical protein	unspecified
MED134_06074	unspecified	hypothetical protein	unspecified
MED134_06069	unspecified	hypothetical protein	unspecified
MED134_06064	unspecified	exodeoxyribonuclease V alpha chain	unspecified
MED134_06059	unspecified	hypothetical protein	unspecified
MED134_06054	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	00540 Lipopolysaccharide biosynthesis [PATH:dok00540]
MED134_06049	unspecified	acyltransferase family protein	unspecified
MED134_06044	unspecified	ferritin-like protein	unspecified
MED134_06039	unspecified	NAD dependent epimerase/dehydratase family protein	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_06034	unspecified	UDP-glucose/GDP-mannose dehydrogenase	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_06029	rfbB	dTDP-glucose 4,6-dehydratase	00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],00523 Polyketide sugar unit biosynthesis [PATH:dok00523],00521 Streptomycin biosynthesis [PATH:dok00521],00525 Acarbose and validamycin biosynthesis [PATH:dok00525]
MED134_06024	rmlA	glucose-1-phosphate thymidylyltransferase	00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],00523 Polyketide sugar unit biosynthesis [PATH:dok00523],00521 Streptomycin biosynthesis [PATH:dok00521],00525 Acarbose and validamycin biosynthesis [PATH:dok00525]
MED134_06019	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],00523 Polyketide sugar unit biosynthesis [PATH:dok00523],00521 Streptomycin biosynthesis [PATH:dok00521]
MED134_06014	rfbD	dTDP-4-dehydrorhamnose reductase	00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],00523 Polyketide sugar unit biosynthesis [PATH:dok00523],00521 Streptomycin biosynthesis [PATH:dok00521]
MED134_06009	unspecified	inositol monophosphatase family protein	00920 Sulfur metabolism [PATH:dok00920]
MED134_06004	unspecified	nucleoside-diphosphate-sugar epimerase	00053 Ascorbate and aldarate metabolism [PATH:dok00053],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_05999	unspecified	UDP-glucose 6-dehydrogenase	00040 Pentose and glucuronate interconversions [PATH:dok00040],00053 Ascorbate and aldarate metabolism [PATH:dok00053],00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]
MED134_05994	wecB	UDP-N-acetylglucosamine 2-epimerase	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],02020 Two-component system [PATH:dok02020]
MED134_05989	unspecified	nucleotide sugar dehydrogenase	00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520],00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541],02020 Two-component system [PATH:dok02020]
MED134_05984	unspecified	hypothetical protein	unspecified
MED134_05979	unspecified	hypothetical protein	unspecified
MED134_05974	unspecified	putative acetyltransferase	unspecified
MED134_05969	unspecified	zinc-binding dehydrogenase	unspecified
MED134_05964	unspecified	heparinase II/III-like protein	unspecified
MED134_05959	unspecified	glycosyl transferases group 1	unspecified
MED134_05954	unspecified	sugar transferase	unspecified
MED134_05949	unspecified	sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family	unspecified
MED134_05944	unspecified	sugar transferase	unspecified
MED134_05939	unspecified	DegT/DnrJ/EryC1/StrS aminotransferase family protein	unspecified
MED134_05934	unspecified	polysaccharide biosynthesis protein	unspecified
MED134_05929	unspecified	polysaccharide biosynthesis/export protein	02020 Two-component system [PATH:dok02020]
MED134_05924	unspecified	capsular exopolysaccharide family protein	02020 Two-component system [PATH:dok02020]
MED134_05919	unspecified	hypothetical protein	unspecified
MED134_05914	unspecified	hypothetical protein	unspecified
MED134_05909	unspecified	carbon-nitrogen hydrolase	unspecified
MED134_05904	unspecified	hypothetical protein	unspecified
MED134_05899	dhys	deoxyhypusine synthase	unspecified
MED134_05894	unspecified	arginase family protein	00330 Arginine and proline metabolism [PATH:dok00330]
MED134_05889	unspecified	Orn/DAP/Arg decarboxylase	00330 Arginine and proline metabolism [PATH:dok00330]
MED134_05884	unspecified	hypothetical protein	unspecified
MED134_05879	unspecified	hypothetical protein	unspecified
MED134_05874	unspecified	hypothetical protein	unspecified
MED134_05869	unspecified	transcription regulator, AraC family	unspecified
MED134_15304	unspecified	putative membrane protein	unspecified
MED134_05859	unspecified	hypothetical protein	unspecified
MED134_15306	unspecified	hypothetical protein	unspecified
MED134_05849	unspecified	hypothetical protein	unspecified
MED134_05844	unspecified	hypothetical protein	unspecified
MED134_15309	unspecified	hypothetical protein	unspecified
MED134_05839	unspecified	fatty acid desaturase	01040 Biosynthesis of unsaturated fatty acids [PATH:dok01040]
MED134_05834	unspecified	cAMP-binding protein	unspecified
MED134_05829	unspecified	drug/metabolite permease	unspecified
MED134_05824	unspecified	hypothetical protein	unspecified
MED134_05819	unspecified	hypothetical protein	unspecified
MED134_05814	unspecified	chaperone protein DnaJ	unspecified
MED134_05809	unspecified	DEAD/DEAH box helicase	03018 RNA degradation [PATH:dok03018]
MED134_05804	unspecified	hypothetical protein	unspecified
MED134_05799	unspecified	transcriptional regulator	unspecified
MED134_05794	unspecified	hypothetical protein	unspecified
MED134_05789	unspecified	peptidase family M13	unspecified
MED134_05784	unspecified	cold shock domain protein CspD	unspecified
MED134_05779	unspecified	hypothetical protein	unspecified
MED134_05774	unspecified	hypothetical protein	unspecified
MED134_05769	unspecified	hypothetical protein	unspecified
MED134_05764	unspecified	hypothetical protein	unspecified
MED134_05754	unspecified	hypothetical protein	unspecified
MED134_05749	unspecified	hypothetical protein	unspecified
MED134_05744	unspecified	hypothetical protein	unspecified
MED134_05739	unspecified	hypothetical protein	unspecified
MED134_05734	unspecified	hypothetical protein	unspecified
MED134_05724	unspecified	major facilitator superfamily permease	unspecified
MED134_05719	unspecified	aldehyde dehydrogenase family protein	00650 Butanoate metabolism [PATH:dok00650],00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250],00310 Lysine degradation [PATH:dok00310],00350 Tyrosine metabolism [PATH:dok00350],00760 Nicotinate and nicotinamide metabolism [PATH:dok00760]
MED134_15334	unspecified	hypothetical protein	unspecified
MED134_05704	unspecified	hypothetical protein	unspecified
MED134_05699	unspecified	membrane dipeptidase (peptidase family M19)	unspecified
MED134_05694	unspecified	DEAD/DEAH box helicase	unspecified
MED134_05689	unspecified	hypothetical protein	unspecified
MED134_05684	unspecified	hypothetical protein	unspecified
MED134_05679	unspecified	short chain dehydrogenase	unspecified
MED134_05674	unspecified	hypothetical protein	unspecified
MED134_05669	unspecified	hypothetical protein	unspecified
MED134_05664	unspecified	hypothetical protein	unspecified
MED134_05659	thdF	tRNA modification GTPase, ThdF family	unspecified
MED134_15345	unspecified	hypothetical protein	unspecified
MED134_05649	unspecified	hypothetical protein	unspecified
MED134_05644	unspecified	hypothetical protein	unspecified
MED134_15348	unspecified	transcriptional regulator	unspecified
MED134_05634	unspecified	hypothetical protein	unspecified
MED134_05629	unspecified	Co/Zn/Cd efflux protein	unspecified
MED134_05624	unspecified	hypothetical protein	unspecified
MED134_05619	unspecified	hypothetical protein	unspecified
MED134_05614	unspecified	hypothetical protein	unspecified
MED134_15354	unspecified	Rossmann-like alpha/beta/alpha sandwich fold protein	unspecified
MED134_05604	unspecified	hypothetical protein	unspecified
MED134_05599	unspecified	hypothetical protein	unspecified
MED134_05589	unspecified	erythromycin esterase	unspecified
MED134_05584	unspecified	CAAX amino terminal protease family	unspecified
MED134_05579	mqo	malate dehydrogenase (quinone)	00020 Citrate cycle (TCA cycle) [PATH:dok00020],00620 Pyruvate metabolism [PATH:dok00620]
MED134_05574	unspecified	flavin containing amine oxidoreductase	unspecified
MED134_05569	unspecified	hypothetical protein	unspecified
MED134_05564	unspecified	hypothetical protein	unspecified
MED134_05559	unspecified	hypothetical protein	unspecified
MED134_05554	unspecified	zinc-binding alcohol dehydrogenase family protein	00010 Glycolysis / Gluconeogenesis [PATH:dok00010],00620 Pyruvate metabolism [PATH:dok00620],00561 Glycerolipid metabolism [PATH:dok00561]
MED134_05549	unspecified	NADH:flavin oxidoreductase/NADH oxidase family protein	00633 Nitrotoluene degradation [PATH:dok00633]
MED134_05544	unspecified	hypothetical protein	unspecified
MED134_05539	unspecified	DNA polymerase III, epsilon subunit	03030 DNA replication [PATH:dok03030],03430 Mismatch repair [PATH:dok03430],03440 Homologous recombination [PATH:dok03440]
MED134_05534	unspecified	hypothetical protein	unspecified
MED134_05529	unspecified	hypothetical protein	unspecified
MED134_05524	unspecified	hypothetical protein	unspecified
MED134_05519	unspecified	pseudouridylate synthase	unspecified
MED134_05514	unspecified	cold shock domain protein CspD	unspecified
MED134_05509	unspecified	hypothetical protein	unspecified
MED134_05504	unspecified	hypothetical protein	unspecified
MED134_05499	unspecified	hypothetical protein	unspecified
MED134_05494	unspecified	hypothetical protein	unspecified
MED134_05489	unspecified	lipid A export permease/ATP-binding protein MsbA	unspecified
MED134_05484	unspecified	hypothetical protein	unspecified
MED134_15379	unspecified	hypothetical protein	unspecified
MED134_05474	rpoD1	RNA polymerase sigma factor RpoD	02040 Flagellar assembly [PATH:dok02040]
MED134_05469	unspecified	RNA polymerase sigma factor, sigma-70 family	unspecified
MED134_05464	unspecified	hypothetical protein	unspecified
MED134_05459	unspecified	hypothetical protein	unspecified
MED134_05454	unspecified	hypothetical protein	unspecified
